,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,all_add
0,1,5.1,3.5,1.4,0.2,Iris-setosa,10.2
1,2,4.9,3.0,1.4,0.2,Iris-setosa,9.5
2,3,4.7,3.2,1.3,0.2,Iris-setosa,9.4
3,4,4.6,3.1,1.5,0.2,Iris-setosa,9.399999999999999
4,5,5.0,3.6,1.4,0.2,Iris-setosa,10.2
5,6,5.4,3.9,1.7,0.4,Iris-setosa,11.4
6,7,4.6,3.4,1.4,0.3,Iris-setosa,9.700000000000001
7,8,5.0,3.4,1.5,0.2,Iris-setosa,10.1
8,9,4.4,2.9,1.4,0.2,Iris-setosa,8.9
9,10,4.9,3.1,1.5,0.1,Iris-setosa,9.6
10,11,5.4,3.7,1.5,0.2,Iris-setosa,10.8
11,12,4.8,3.4,1.6,0.2,Iris-setosa,9.999999999999998
12,13,4.8,3.0,1.4,0.1,Iris-setosa,9.299999999999999
13,14,4.3,3.0,1.1,0.1,Iris-setosa,8.5
14,15,5.8,4.0,1.2,0.2,Iris-setosa,11.2
15,16,5.7,4.4,1.5,0.4,Iris-setosa,12.000000000000002
16,17,5.4,3.9,1.3,0.4,Iris-setosa,11.000000000000002
17,18,5.1,3.5,1.4,0.3,Iris-setosa,10.3
18,19,5.7,3.8,1.7,0.3,Iris-setosa,11.5
19,20,5.1,3.8,1.5,0.3,Iris-setosa,10.7
20,21,5.4,3.4,1.7,0.2,Iris-setosa,10.7
21,22,5.1,3.7,1.5,0.4,Iris-setosa,10.700000000000001
22,23,4.6,3.6,1.0,0.2,Iris-setosa,9.399999999999999
23,24,5.1,3.3,1.7,0.5,Iris-setosa,10.599999999999998
24,25,4.8,3.4,1.9,0.2,Iris-setosa,10.299999999999999
25,26,5.0,3.0,1.6,0.2,Iris-setosa,9.799999999999999
26,27,5.0,3.4,1.6,0.4,Iris-setosa,10.4
27,28,5.2,3.5,1.5,0.2,Iris-setosa,10.399999999999999
28,29,5.2,3.4,1.4,0.2,Iris-setosa,10.2
29,30,4.7,3.2,1.6,0.2,Iris-setosa,9.7
30,31,4.8,3.1,1.6,0.2,Iris-setosa,9.7
31,32,5.4,3.4,1.5,0.4,Iris-setosa,10.700000000000001
32,33,5.2,4.1,1.5,0.1,Iris-setosa,10.9
33,34,5.5,4.2,1.4,0.2,Iris-setosa,11.299999999999999
34,35,4.9,3.1,1.5,0.1,Iris-setosa,9.6
35,36,5.0,3.2,1.2,0.2,Iris-setosa,9.599999999999998
36,37,5.5,3.5,1.3,0.2,Iris-setosa,10.5
37,38,4.9,3.1,1.5,0.1,Iris-setosa,9.6
38,39,4.4,3.0,1.3,0.2,Iris-setosa,8.9
39,40,5.1,3.4,1.5,0.2,Iris-setosa,10.2
40,41,5.0,3.5,1.3,0.3,Iris-setosa,10.100000000000001
41,42,4.5,2.3,1.3,0.3,Iris-setosa,8.4
42,43,4.4,3.2,1.3,0.2,Iris-setosa,9.1
43,44,5.0,3.5,1.6,0.6,Iris-setosa,10.7
44,45,5.1,3.8,1.9,0.4,Iris-setosa,11.2
45,46,4.8,3.0,1.4,0.3,Iris-setosa,9.5
46,47,5.1,3.8,1.6,0.2,Iris-setosa,10.699999999999998
47,48,4.6,3.2,1.4,0.2,Iris-setosa,9.399999999999999
48,49,5.3,3.7,1.5,0.2,Iris-setosa,10.7
49,50,5.0,3.3,1.4,0.2,Iris-setosa,9.9
50,51,7.0,3.2,4.7,1.4,Iris-versicolor,16.299999999999997
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,15.600000000000001
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,16.4
53,54,5.5,2.3,4.0,1.3,Iris-versicolor,13.100000000000001
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,15.4
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,14.3
56,57,6.3,3.3,4.7,1.6,Iris-versicolor,15.9
57,58,4.9,2.4,3.3,1.0,Iris-versicolor,11.600000000000001
58,59,6.6,2.9,4.6,1.3,Iris-versicolor,15.4
59,60,5.2,2.7,3.9,1.4,Iris-versicolor,13.200000000000001
60,61,5.0,2.0,3.5,1.0,Iris-versicolor,11.5
61,62,5.9,3.0,4.2,1.5,Iris-versicolor,14.600000000000001
62,63,6.0,2.2,4.0,1.0,Iris-versicolor,13.2
63,64,6.1,2.9,4.7,1.4,Iris-versicolor,15.1
64,65,5.6,2.9,3.6,1.3,Iris-versicolor,13.4
65,66,6.7,3.1,4.4,1.4,Iris-versicolor,15.600000000000001
66,67,5.6,3.0,4.5,1.5,Iris-versicolor,14.6
67,68,5.8,2.7,4.1,1.0,Iris-versicolor,13.6
68,69,6.2,2.2,4.5,1.5,Iris-versicolor,14.4
69,70,5.6,2.5,3.9,1.1,Iris-versicolor,13.1
70,71,5.9,3.2,4.8,1.8,Iris-versicolor,15.700000000000003
71,72,6.1,2.8,4.0,1.3,Iris-versicolor,14.2
72,73,6.3,2.5,4.9,1.5,Iris-versicolor,15.200000000000001
73,74,6.1,2.8,4.7,1.2,Iris-versicolor,14.799999999999997
74,75,6.4,2.9,4.3,1.3,Iris-versicolor,14.900000000000002
75,76,6.6,3.0,4.4,1.4,Iris-versicolor,15.4
76,77,6.8,2.8,4.8,1.4,Iris-versicolor,15.799999999999999
77,78,6.7,3.0,5.0,1.7,Iris-versicolor,16.4
78,79,6.0,2.9,4.5,1.5,Iris-versicolor,14.9
79,80,5.7,2.6,3.5,1.0,Iris-versicolor,12.8
80,81,5.5,2.4,3.8,1.1,Iris-versicolor,12.799999999999999
81,82,5.5,2.4,3.7,1.0,Iris-versicolor,12.600000000000001
82,83,5.8,2.7,3.9,1.2,Iris-versicolor,13.6
83,84,6.0,2.7,5.1,1.6,Iris-versicolor,15.399999999999999
84,85,5.4,3.0,4.5,1.5,Iris-versicolor,14.4
85,86,6.0,3.4,4.5,1.6,Iris-versicolor,15.5
86,87,6.7,3.1,4.7,1.5,Iris-versicolor,16.0
87,88,6.3,2.3,4.4,1.3,Iris-versicolor,14.3
88,89,5.6,3.0,4.1,1.3,Iris-versicolor,14.0
89,90,5.5,2.5,4.0,1.3,Iris-versicolor,13.3
90,91,5.5,2.6,4.4,1.2,Iris-versicolor,13.7
91,92,6.1,3.0,4.6,1.4,Iris-versicolor,15.1
92,93,5.8,2.6,4.0,1.2,Iris-versicolor,13.6
93,94,5.0,2.3,3.3,1.0,Iris-versicolor,11.6
94,95,5.6,2.7,4.2,1.3,Iris-versicolor,13.8
95,96,5.7,3.0,4.2,1.2,Iris-versicolor,14.099999999999998
96,97,5.7,2.9,4.2,1.3,Iris-versicolor,14.100000000000001
97,98,6.2,2.9,4.3,1.3,Iris-versicolor,14.7
98,99,5.1,2.5,3.0,1.1,Iris-versicolor,11.7
99,100,5.7,2.8,4.1,1.3,Iris-versicolor,13.9
100,101,6.3,3.3,6.0,2.5,Iris-virginica,18.1
101,102,5.8,2.7,5.1,1.9,Iris-virginica,15.5
102,103,7.1,3.0,5.9,2.1,Iris-virginica,18.1
103,104,6.3,2.9,5.6,1.8,Iris-virginica,16.599999999999998
104,105,6.5,3.0,5.8,2.2,Iris-virginica,17.5
105,106,7.6,3.0,6.6,2.1,Iris-virginica,19.3
106,107,4.9,2.5,4.5,1.7,Iris-virginica,13.6
107,108,7.3,2.9,6.3,1.8,Iris-virginica,18.3
108,109,6.7,2.5,5.8,1.8,Iris-virginica,16.8
109,110,7.2,3.6,6.1,2.5,Iris-virginica,19.4
110,111,6.5,3.2,5.1,2.0,Iris-virginica,16.799999999999997
111,112,6.4,2.7,5.3,1.9,Iris-virginica,16.3
112,113,6.8,3.0,5.5,2.1,Iris-virginica,17.400000000000002
113,114,5.7,2.5,5.0,2.0,Iris-virginica,15.2
114,115,5.8,2.8,5.1,2.4,Iris-virginica,16.099999999999998
115,116,6.4,3.2,5.3,2.3,Iris-virginica,17.200000000000003
116,117,6.5,3.0,5.5,1.8,Iris-virginica,16.8
117,118,7.7,3.8,6.7,2.2,Iris-virginica,20.4
118,119,7.7,2.6,6.9,2.3,Iris-virginica,19.500000000000004
119,120,6.0,2.2,5.0,1.5,Iris-virginica,14.7
120,121,6.9,3.2,5.7,2.3,Iris-virginica,18.1
121,122,5.6,2.8,4.9,2.0,Iris-virginica,15.299999999999999
122,123,7.7,2.8,6.7,2.0,Iris-virginica,19.2
123,124,6.3,2.7,4.9,1.8,Iris-virginica,15.700000000000001
124,125,6.7,3.3,5.7,2.1,Iris-virginica,17.8
125,126,7.2,3.2,6.0,1.8,Iris-virginica,18.2
126,127,6.2,2.8,4.8,1.8,Iris-virginica,15.600000000000001
127,128,6.1,3.0,4.9,1.8,Iris-virginica,15.8
128,129,6.4,2.8,5.6,2.1,Iris-virginica,16.9
129,130,7.2,3.0,5.8,1.6,Iris-virginica,17.6
130,131,7.4,2.8,6.1,1.9,Iris-virginica,18.199999999999996
131,132,7.9,3.8,6.4,2.0,Iris-virginica,20.1
132,133,6.4,2.8,5.6,2.2,Iris-virginica,17.0
133,134,6.3,2.8,5.1,1.5,Iris-virginica,15.7
134,135,6.1,2.6,5.6,1.4,Iris-virginica,15.7
135,136,7.7,3.0,6.1,2.3,Iris-virginica,19.099999999999998
136,137,6.3,3.4,5.6,2.4,Iris-virginica,17.7
137,138,6.4,3.1,5.5,1.8,Iris-virginica,16.8
138,139,6.0,3.0,4.8,1.8,Iris-virginica,15.600000000000001
139,140,6.9,3.1,5.4,2.1,Iris-virginica,17.5
140,141,6.7,3.1,5.6,2.4,Iris-virginica,17.8
141,142,6.9,3.1,5.1,2.3,Iris-virginica,17.4
142,143,5.8,2.7,5.1,1.9,Iris-virginica,15.5
143,144,6.8,3.2,5.9,2.3,Iris-virginica,18.2
144,145,6.7,3.3,5.7,2.5,Iris-virginica,18.2
145,146,6.7,3.0,5.2,2.3,Iris-virginica,17.2
146,147,6.3,2.5,5.0,1.9,Iris-virginica,15.700000000000001
147,148,6.5,3.0,5.2,2.0,Iris-virginica,16.7
148,149,6.2,3.4,5.4,2.3,Iris-virginica,17.3
149,150,5.9,3.0,5.1,1.8,Iris-virginica,15.8
